id,claim,review_url,claimer,text,headline,keywords,claim_date,education,healthcare,immigration,environment,taxes,elections,crime
534,http://data.gesis.org/claimskg/creative_work/3e085dfe-2b7a-5098-bec3-9119344ed764,http://www.politifact.com/ohio/statements/2012/apr/10/sandra-williams/rep-sandra-williams-says-9997-percent-cleveland-pu/,Sandra Williams,99.97 percent of the kids live in poverty that attend Cleveland public schools.',Rep. Sandra Williams says 99.97 percent of Cleveland public schoolchildren live in poverty,Poverty,2012-03-21,1,0,0,0,0,0,0
544,http://data.gesis.org/claimskg/creative_work/69e2bbaa-c74d-5f9a-a1b6-f7fe3df7c0f6,http://www.politifact.com/virginia/statements/2014/jun/10/mark-warner/warner-says-us-student-debt-has-surpassed-credit-c/,Mark Warner,"Right now, America has $1.1 trillion of student debt. That’s more than credit card debt.'",Warner says U.S. student debt has surpassed credit card debt,"Message Machine 2014,Debt",2014-05-29,1,0,0,0,0,0,0
550,http://data.gesis.org/claimskg/creative_work/5c2e7be9-69be-55f4-9b7a-0fdb24a56f61,http://www.politifact.com/west-virginia/statements/2019/may/10/west-virginia-republican-party/does-west-virginia-rank-top-quarter-states-educati/,West Virginia Republican Party,West Virginia spends more tax dollars on public education than all but 13 other states and the District of Columbia.',Does West Virginia rank in the top quarter of states for education spending?,State Budget,2019-04-05,1,0,0,0,1,0,0
623,http://data.gesis.org/claimskg/creative_work/afff136e-b250-5eb9-befd-3f17f11f7291,http://www.politifact.com/texas/statements/2013/jan/16/rick-perry/rick-perry-says-texas-education-increased-phenomen/,Rick Perry,Says Texas public school funding grew three times the rate of enrollment from 2002 to 2012.,Rick Perry says Texas education spending increased a phenomenal 70 percent as enrollment escalated 23 percent,"State Finances,State Budget",2013-01-09,1,0,0,0,0,0,0
648,http://data.gesis.org/claimskg/creative_work/855ff1ef-cafe-55e9-9838-86c139ee98f9,http://www.politifact.com/rhode-island/statements/2014/oct/29/ernest-almonte/ernest-almonte-claims-seth-magaziner-treasurer-pla/,Ernest Almonte,Seth Magaziner 'plans to spend billions more of your money.',"Ernest Almonte claims Seth Magaziner, as treasurer, plans to spend billions in taxpayer money","State Finances,Message Machine 2014,Debt,Government Efficiency,Unions,Jobs,Negative Campaigning,Small Business,Pensions,State Budget,Deficit",2014-10-19,0,0,0,0,1,0,0
670,http://data.gesis.org/claimskg/creative_work/a265fb93-1ffd-5686-834a-5f969d847f9b,http://www.politifact.com/north-carolina/statements/2017/mar/16/phil-berger/north-carolina-teacher-pay-has-been-rising-not-nea/,Phil Berger,Says Republican legislators in North Carolina raised the average teacher's pay 'by more than 15 percent in just three years.',"NC teacher pay has been rising, but not by nearly as much as Sen. Phil Berger says","State Finances,State Budget,Corrections and Updates",2017-03-13,1,0,0,0,0,0,0
711,http://data.gesis.org/claimskg/creative_work/c918f489-beaf-5af4-b04a-e5b10eaf8851,http://www.politifact.com/florida/statements/2017/jun/28/michael-needham/are-medicaid-patients-more-likely-die-uninsured-he/,Michael Needham,"Actually, on some procedures, you're more likely to die if you're on Medicaid than if you're uninsured.'","Are Medicaid patients more likely to die than uninsured, as Heritage Action CEO says?",Medicaid,2017-06-25,0,1,0,0,0,0,0
733,http://data.gesis.org/claimskg/creative_work/3b578e3a-8c73-5323-8339-6c36ec360d5a,http://www.politifact.com/florida/statements/2017/mar/14/rosemary-laird/do-half-million-people-florida-have-alzheimers-dis/,Rosemary Laird,"Currently, half a million Floridians have Alzheimer’s disease, and in less than 10 years, a 40 percent growth rate means that another 200,000 Floridians will develop this devastating illness.'",Do half a million people in Florida have Alzheimer's disease?,"Retirement,Disability",2017-03-14,0,1,0,0,0,0,0
752,http://data.gesis.org/claimskg/creative_work/b28e55e9-c16f-5a65-9bbc-5a74302638ff,http://www.politifact.com/texas/statements/2013/jul/12/gilberto-hinojosa/gilberto-hinojosa-texas-abortion-cancer/,Gilberto Hinojosa,"Says if Texas abortion measure passes, 'someone living in El Paso would have to drive 550 miles each way to San Antonio for something as simple as cervical cancer screening.'",If abortion measure passes El Pasoans will suffer long drive for cervical cancer screening,Abortion,2013-07-03,0,1,0,0,0,0,0
767,http://data.gesis.org/claimskg/creative_work/03c03b04-8191-567e-90f9-38635ed2f234,http://www.politifact.com/truth-o-meter/statements/2010/feb/16/joe-biden/biden-overstates-role-medicare-medicaid-us-health-/,Joe Biden,"Among the money spent on health care in the United States, '46 cents on every dollar spent is through Medicare and Medicaid.'","Biden overstates role of Medicare, Medicaid in U.S. health care spending","Federal Budget,Medicare",2010-02-14,0,1,0,0,0,0,0
768,http://data.gesis.org/claimskg/creative_work/76d4ecb3-a008-579e-9480-d70a9b9dc03c,http://www.politifact.com/florida/statements/2014/jul/09/charlie-crist/not-expanding-medicaid-florida-missing-out-63800-j/,Charlie Crist,Expanding Medicaid would create 63k jobs.',"By not expanding Medicaid, Florida is missing out on 63,800 jobs, Charlie Crist says","Medicaid,Poverty",2014-07-02,0,1,0,0,0,0,0
777,http://data.gesis.org/claimskg/creative_work/ac0da03a-93b2-50fb-b844-4df7e4e97599,http://www.politifact.com/virginia/statements/2015/apr/13/dave-brat/brat-says-obamacare-repeal-would-save-nation-2-tri/,Dave Brat,Repealing Obamacare saves 'our nation more than $2 trillion.',Brat says Obamacare repeal would save nation more than $2 trillion,Debt,2015-03-17,0,1,0,0,0,0,0
779,http://data.gesis.org/claimskg/creative_work/22306836-b992-53e3-bb9b-d19616a23a81,http://www.politifact.com/truth-o-meter/statements/2012/mar/16/barack-obama/barack-obama-film-says-health-care-law-aided-17-mi/,Barack Obama,"Because of the new health care law, '17 million kids can no longer be denied for a pre-existing condition.'",Barack Obama film says health care law aided 17 million kids with pre-existing conditions,"Job Accomplishments,Message Machine 2012",2012-03-16,0,1,0,0,0,0,0
783,http://data.gesis.org/claimskg/creative_work/c9a8fc45-65b5-5b88-9ec1-bf7f6bf7a488,http://www.politifact.com/texas/statements/2011/nov/22/national-taxpayers-union/taxpayers-group-says-obama-plans-impose-23-percent/,National Taxpayers Union,President Obama plans to 'impose a tax of at least 23 percent on the Medicare prescription drug benefit for low-income beneficiaries.',Taxpayers group says Obama plans to impose 23 percent tax on Medicare prescription benefit for low-income beneficiaries,"Medicare,Medicaid",2011-11-13,0,1,0,0,1,0,0
788,http://data.gesis.org/claimskg/creative_work/eba821fc-808f-5e9e-8849-4773d6b8e795,http://www.politifact.com/rhode-island/statements/2011/nov/20/sheldon-whitehouse/sen-sheldon-whitehouse-says-us-spends-18-percent-i/,Sheldon Whitehouse,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.',"Sen. Sheldon Whitehouse says U.S. spends 18 percent of its GDP on healthcare, far more than other nations",Federal Budget,2011-09-21,0,1,0,0,0,0,0
789,http://data.gesis.org/claimskg/creative_work/207bd5d8-fc1b-5369-87f8-10add2e1bc17,http://www.politifact.com/wisconsin/statements/2012/nov/01/tommy-thompson/testing-thompsons-position-ryans-medicare-reform-p/,Tommy Thompson,On support for U.S. Rep. Paul Ryan’s Medicare reform plan,Testing Thompson's position on Ryan's Medicare reform plan,"Federal Budget,Medicare",2012-10-26,0,1,0,0,0,0,0
790,http://data.gesis.org/claimskg/creative_work/74c23f87-60f3-5690-8618-a0694a6b0ea9,http://www.politifact.com/truth-o-meter/statements/2017/jun/27/donald-trump/white-house-criticism-cbo-analysis-misleading/,Donald Trump,"When Obamacare was signed into law, CBO estimated that 23 million people would be covered in Obamacare’s exchanges in 2017. They were off by more than 100 percent. Only 10.3 million people are covered by Obamacare.'",White House tweets misleading criticism of CBO analysis,Corrections and Updates,2017-06-26,0,1,0,0,0,0,0
793,http://data.gesis.org/claimskg/creative_work/e6596687-2832-5a1e-b179-726ae9a109f9,http://www.politifact.com/truth-o-meter/statements/2013/oct/29/david-axelrod/david-axelrod-says-vast-majority-americans-will-ke/,David Axelrod,The vast majority of people in this country are keeping their (health insurance) plan.',David Axelrod says 'vast majority' of Americans will keep their health insurance,Pundits,2013-10-28,0,1,0,0,0,0,0
818,http://data.gesis.org/claimskg/creative_work/fa9162fb-1862-5ea4-bbbb-93b488fd064a,http://www.politifact.com/texas/statements/2016/apr/22/jerry-jones/pants-fire-jerry-jones-says-absurd-firmly-link-foo/,Jerry Jones,Says it’s 'absurd' to say there’s enough data to establish a link between playing football and Chronic Traumatic Encephalopathy.,"Pants on Fire: Jerry Jones says 'absurd' to firmly link football, Chronic Traumatic Encephalopathy","Science,Sports",2016-03-22,0,1,0,0,0,0,0
832,http://data.gesis.org/claimskg/creative_work/49f770a4-08ca-568e-af51-b51e849f86d1,http://www.politifact.com/truth-o-meter/statements/2014/jul/02/ruth-bader-ginsburg/ruth-bader-ginsburg-dissent-says-women-pay-68-perc/,Ruth Bader Ginsburg,Women of childbearing age spend 68 percent more in out-of-pocket health care costs than men.',Ruth Bader Ginsburg dissent says women pay 68 percent more out of pocket for health care,Women,2014-06-30,0,1,0,0,0,0,0
833,http://data.gesis.org/claimskg/creative_work/3f1ade58-e20c-5dcc-84b5-88ae587b10c1,http://www.politifact.com/california/statements/2017/mar/10/gavin-newsom/debate-over-iphone-vs-health-care-costs-gavin-news/,Gavin Newsom,"Cost of iPhone: $399
- Cost of healthcare for 1 year: $10,345
- Hearing @jasoninthehouse compare the 2 as if they are the same: priceless'","In debate over iPhone vs. health care costs, Gavin Newsom’s claims are Mostly True","Technology,The 2018 California Governor's Race",2017-03-07,0,1,0,0,0,0,0
837,http://data.gesis.org/claimskg/creative_work/5163e398-2b1e-50b7-a7ab-4115d4dbdb67,http://www.politifact.com/truth-o-meter/statements/2009/sep/02/organizing-america/organizing-america-says-media-wont-check-facts-we-/,Organizing for America,"Over the past few months, we've learned that 'we just can't count on the media to debunk' lies about health insurance reform.","Organizing for America says media won't check facts, but we find many debunking reports.",Pundits,2009-09-01,0,1,0,0,0,0,0
841,http://data.gesis.org/claimskg/creative_work/a3800747-72eb-519f-a7b4-36deb394dfa3,http://www.politifact.com/new-hampshire/statements/2015/apr/21/evan-bayh/former-senator-evan-bayh-says-fastest-growing-defe/,Evan Bayh,The fastest-growing part of the Pentagon’s budget are health care expenses.',Former Sen. Evan Bayh says health care costs are fastest growing part of Defense Department budget,Military,2015-04-02,0,1,0,0,0,0,0
866,http://data.gesis.org/claimskg/creative_work/68499b6a-590e-578d-8939-b7ff90da2505,http://www.politifact.com/tennessee/statements/2012/apr/12/matthew-hill/matthew-hill-says-abortion-doctors-flying-out-tenn/,Matthew Hill,"Says abortion doctors are 'flying into this state, performing abortions and flying out.'","Matthew Hill says abortion doctors flying in, out of Tennessee to perform procedures",Abortion,2012-03-29,0,1,0,0,0,0,0
